原图,Origin,Origin,Origin,أصل,,,,
自然,Natural,Natural,Natural,طبيعي,,,,
谈雅,Cool,Cool,Cool,رائع,,,,
粉嫩,Blush,Blush,Blush,أحمر خدود,,,,
清新,Fresh,Fresh,Fresh,طازج,,,,
微光,Shimmer,Shimmer,Shimmer,وميض,,,,
盛夏,Midsummer,Midsummer,Midsummer,منتصف الصيف,,,,
晨曦,Dawn,Dawn,Dawn,فجر,,,,
暖风,Warm,Warm,Warm,دافئ,,,,
元气,Vitality,Vitality,Vitality,حيوية,,,,
氧气,Oxygen,Oxygen,Oxygen,الأكسجين,,,,
房间内,尽量翻译短一点,,,,,,,
魅力值,Charm,Karisma,Encanto,الجاذبي,,,,
今日排名,Today's rank,Peringkat hari ini,Ranking de hoy,ترتيب اليوم,,,,
笑声,Laugh,,Risa,ضحك,,,,
快邀请嘉宾上麦互动吧,Let's invite guests to mic Interactive,Cepat mengajarkan tamu naik kursi untuk interaktif,Invite a sus invitados a tomar el micrófono e interactuar.,ندعو الضيوف إلى المايك للتفاعل,,,,
系统通知：官方倡导绿色健康的互动体验，严禁传送色情、赌博、政策等不良信息，一发现，封停账号。,"System notice: The official advocates green and healthy interactive experience, strictly prohibits the transmission of pornography, gambling, policy and other bad information, once found, the account will be banned.  ","Pemberitahuan sistem: Resmi menganjurkan pengalaman interaktif yang aktif dan sehat. Dilarang keras mengirimkan pornografi, perjudian, kebijakan, dan informasi tidak baik. Setelah ditemukan, akun akan diblokir.","Aviso del sistema: Abogar oficialmente por una experiencia interactiva verde y saludable, la transmisión de la pornografía, los juegos de azar, la política y otra información indeseable está estrictamente prohibido, una vez encontrado, la cuenta será bloqueada.",إشعار النظام: يدافع الرسمي عن تجربة تفاعلية خضراء وصحية ، ويحظر اعلان المواد الإباحية والمقامرة والسياسة وغيرها من المعلومات السيئة ، بمجرد العثور عليها ، سيتم حظر الحساب.,,,,
消息,Message,Pasan,Mensajes,رسالة,,,,
翻转相机,Turn over,Balik,Voltear,تقليب,,,,
静音,Mute,Tutup mic ,Mudo,كتم,,,,
麦,Mic,Mic,Mic,مايك,,,,
分享,Share,Membagikan,Compartir,مشاركة,,,,
上麦邀请,Invite mic,undangan naik kursi,Invitar al micrófono,دعوة مايك,,,,
全选择,Select all,semua,Seleccionar todo,اختر الكل,,,,
确定,Confirm,Konfirmasi,Confirmar,تأكيد,,,,
排麦列表,Mic list,Dafrar atur mic,Lista de micrófono,قائمة المايك,,,,
房间名称,Room name,Nama ruangan,Nombre de la habitación,اسم الغرفة,,,,
进房提示,Room entry reminder,Petunjuk masuk ruangan,Recordatorio de entrada a la habitación,تذكير دخول الغرفة,,,,
管理员列表,Admin list,Daftar admin,Lista de administración,قائمة ادمن,,,,
黑名单,Blacklist,Daftar hitam,Lista negra,قائمة سوداء,,,,
清屏,Clear,Bersihkan layar,Aclarar,مسح,,,,
退出,Exit,Keluar,Salir,خروج,,,,
取消,Cancel,Batal,Cancelar,إلغاء,,,,
直播结束,End live,berakhir siaran,Terminar en vivo,إنهاء البث,,,,
直播时长,Live duration,Duasi siaran,Duración en vivo,مدة البث,,,,
观看人数,Number viewers,Jumlah penonton,Número de espectadores,عدد المشاهدين,,,,
收到钻石,Receive diamonds,Diamond yg menerima,Recibe diamantes,استلام الماس,,,,
返回首页,Back ,Balik beranda,Volver a la página de inicio,عودة,,,,
关注,Follow,Follow,Seguir,متابعة,,,,
你可能会喜欢,You may like,mungkin kamu suka,Te podría gustar,يعجبك,,,,
礼物栏,尽量翻译短一点,,,,,,,
普通,Normal,Biasa,Normal,عادي,,,,
背包,Backpack,Ransel,Mochila,حقيبة,,,,
探索,Explore,,Explorar,اكتشاف,,,,
动态,Moment,Moment,Momento,لحظات,,,,
从这遇见TA,Meet He/She from here,Bertemu dia di sini,Conoce a él / ella desde aquí,قابلها/ه من هنا,,,,
筛选,Filter,Saring,Filtrar,غربلة,,,,
点赞,Like,Like,Gustar,اعجاب ,,,,
发消息,Send message,Kirim pesan,Enviar mensaje,أرسل رسالة,,,,
全部,All,semua,Todo,كل,,,,
男,Male,Pria,Chico,ذكر,,,,
女,Female,Perempuan,Chica,أنثى,,,,
动态,尽量翻译短一点,,,,,,,
热门话题,Hot topic,Topik hot,Tema candente,موضوع ساخن,,,,
全部,All,Semua,Todo,كل,,,,
好友,Friend,Teman,Amigos,صديق,,,,
推荐,Recommend,Rekmendasi,Recomendar,توصية,,,,
最新,Newest,Terbaru,Más reciente,أحدث,,,,
发布动态,Post Moment,Post Moment,Publicar momentos,نشر اللحظة,,,,
此刻的感想.....,Thoughts at the moment.....,Perasaan saat ini ,Pensamientos en este momento .....,أفكاري في الوقت الحالي .....,,,,
#请选择今日热门话题,#Please select today's hot topic,Silahkan pilih topik hot hari ini ,#Seleccione el tema candente de hoy,# الرجاء اختر الموضوع الساخن اليوم,,,,
发布,Post,Kirim,Publicar ,نشر ,,,,
发帖参与话题,Post moment to join in the topic,Post moment untuk mengikuti topik ,Publica un momento para unirte al tema,انشر لحظة للانضمام إلى الموضوع,,,,
全部话题,All topics,Semua topik ,Todos temas,كل المواضيع,,,,
话题,Topic,Topik,Tema,الموضوع,,,,
热门话题,Hot topic,Topik hot,Tema candente,موضوع ساخن,,,,
全部,All,Semua ,Todo,كل,,,,
最新,Newest,Terbaru,Más reciente,أحدث,,,,
%s 人参与此话题,%s users participated in this topic,%sorg mengikuti topik ini,%s usuarios participaron en este tema,٪s مستخدم شارك في هذا الموضوع,,,,
%s分钟前,%s min ago,%smenit yang lalu,Hace %s minutos,قبل٪ s دقيقة,,,,
评论,Comment,komentar%s,Comentar,تعليق,,,,
%s 月 %是日,%s month% day,Tanggal%s ,,,,,,
刚刚,Just now,Tadi ,Ahora mismo, قبل قليل,,,,
请输入你的评论,Please enter your comment,Silakan masukkan komentar anda,"Introduzca su comentario, por favor",الرجاء إدخال تعليقك,,,,
发消息,Send message,Kirim pesan,Enviar mensaje,أرسل رسالة,,,,
喜欢,Like,Like,Gustar,اعجاب,,,,
更多,More,Lebih banyak,Más,اكثر,,,,
举报,Report,Laporkan,Denunciar,إبلاغ,,,,
取消,Cancel,Batalkan,Cancelar,إلغاء,,,,
还没有人评论这个动态哦~,No one commented on this moment yet~,Belum ada yang mengomentari momen ini,Nadie ha comentado este momento todavía~,لم يعلق أحد على هذه اللحظة بعد ~,,,,
,,,,,,,,
,,,,,,,,
消息页,尽量翻译短一点,,,,,,,
消息,Message,Pesan,Mensaje,رسالة,,,,
好友,Friend,Teman,Amigos,صديق,,,,
申请通知,Application notice,Pemberitahuan aplikasi,Aviso de solicitud,إشعار الطلب,,,,
系统通知,System notice,Pemberitahuan sistem,Aviso del sistema,إشعار النظام,,,,
我点赞的人,Someone I liked,Orang yang aku sukai,Alguien que me gusta,مستخدم الذي اعجبه,,,,
陌生人消息,Stranger message,Pesan orang asing ,Mensajes de desconocidos,رسالة غريبة,,,,
刚刚,Just now,Tadi ,Ahora mismo, قبل قليل,,,,
好友请求,Friend request,Permintaan pertemanan,Solicitud de amistad,طلب صداقة,,,,
我的申请,My request,Permintaan saya,Mi petición,طلبي,,,,
黑名单,Blacklist,Daftar hitam,Lista negra,قائمة سوداء,,,,
同意,Agree,Setuju,Convenir,موافق,,,,
拒绝,Reject,Tolak,Rechazar,رفض,,,,
申请中,Applying,Memproseskan,Aplicando,في الطلب,,,,
已同意,Agreed,Sudah setuju,Convenido,تم المواقفة,,,,
我的,尽量翻译短一点,,,,,,,
好友,Friend,Teman,Amigos,صديق,,,,
关注,Follow,Follow,Seguir,متابعة,,,,
粉丝,Fans,penggemar,Seguidores,معجبون,,,,
钱包,Wallet,Dompet,Billetera,محفظة,,,,
邀请,Invite,Undang,Invitar,دعوة,,,,
任务,Task,Tugas,Tarea,مهمة,,,,
装扮商城,Mall,Mall,Tienda,متجر,,,,
我的公会,My agency,Keluarga saya,Mi agencia,وكالتي,,,,
我的等级,My level,Level saya,Mi nivel,درجتي,,,,
反馈,Feedback,Umpan balik,Realimentación,تعليقات,,,,
设置,Setting,Pengaturan,Configurar,اعدادات,,,,
资料,Information,Data,Información,معلومات,,,,
动态,Moment,Moment,Momento,لحظات,,,,
个性签名,Signature,Bio,Firma,توقيع,,,,
想在这里认识更多的朋友,Want to meet more friends here,Mau mengenal lebih banyak teman di sini ,Quiero conocer más amigos aquí,اريد مقابلة المزيد من الأصدقاء هنا,,,,
个性标签,Personality tag,Tag kepribadian,Etiqueta de personalidad,علامة الشخصية,,,,
礼物墙(%s),Gift wall (%s),Dinding hadiah(%s),Muro de regalos (%s),جدار الهدايا (٪s),,,,
关注,Follow,Follow,Seguir,متابعة,,,,
私聊,Private chat,Obrolan pribadi,Chat privado,دردشة خاصة,,,,
修改资料,Modify information,Ubah informasi,Modificar información,تعديل المعلومات,,,,
昵称,Nickname,Nama panggilan,Apodo,اسم,,,,
性别,Gender,Jenis kelamin,Género,جنس,,,,
生日,Birthday,Hari ulang tahun,Cumpleaños,عيد الميلاد,,,,
国家,Country,Negara,País,بلد,,,,
选择个人标签,Choose tag,Pilih tag,Elige etiqueta,اختر علامة,,,,
性格（最多选5个标签）,Personality (select up to 5 tag),Kepribadian (5 tag paling banyak dipilih),Personalidad (seleccione hasta 5 etiquetas),شخصية (حدد ما يصل إلى 5 علامات),,,,
兴趣标签,Interest tag,Tag minat,Etiqueta de interés,علامة الاهتمام,,,,
正在视频中,On video,Sedang video,En video,على الفيديو,,,,
去找TA,Find She/He,Temukan dia,Encontrar a ella/él,تجده /ها,,,,
充值,Recharge,Top up ,Recargar,إعادة الشحن,,,,
收益,Income,Penghasilan,Ingreso,الدخل,,,,
我的钱包,My wallet,Dompet saya ,Mi billetera,محفظتى,,,,
账单明细,Billing Details,Detail Penagihan,Detalles de facturación,تفاصيل الفاتورة,,,,
收入礼物,Gift Income ,Pendapatan hadiah,Ingresos por regalos,دخل الهدية,,,,
送礼物,Send gift,Gift yg dikirim,Enviar regalo,أرسل هدية,,,,
充值记录,Recharge record,Catatan top up,Registro de recarga,سجل الشحن,,,,
邀请记录,Invitation record,Catatan undangan,Registro de invitación,سجل الدعوة,,,,
钻石余额,Diamond balance,Saldo berlian,Equilibrio de diamantes,رصيد الماس,,,,
收益记录,Income record,Catatan pendapatan,Registro de ingresos,سجل الدخل,,,,
钻石可用于兑换金币,Diamonds can be exchanged for gold coins,Berlian bisa ditukar dengan koin,Los diamantes se pueden cambiar por monedas de oro.,يمكن صرف الماس بعملات ذهبية,,,,
兑换金币,Exchange gold coins,Tukar koin,Intercambiar monedas de oro,صرف العملات الذهبية,,,,
提现,Withdraw,Withdraw,Retirar,سحب النقود,,,,
任务中心,Task center,Pusat tugas,Centro de tareas,مركز المهام,,,,
我的银币,My silver coins,koin perak saya,Mis monedas de plata,عملاتي الفضية,,,,
今日暂未签到 累计签到0天,No sign-in today. Accumulative sign-in 0 days,"Hari ini blum absen, akumulasi absen 0 hari ",No hay inicio de sesión hoy. Inicio de sesión acumulativo 0 días,لم يتم تسجيل الدخول اليوم. تسجيل الدخول التراكمي 0 يوم,,,,
银币商城,Silver Coin Mall,Mall koin perak,Tienda de Silver Coin,متجر العملات الفضية,,,,
精美头饰框,Exquisite headwear,Bingkai cantik ,Exquisito marco de tocado,اطار رائع,,,,
超多福利奖励,Super multi-benefit rewards,Banyak bonus,Recompensas de súper beneficios múltiples,مكافآت متعددة الفوائد,,,,
抽取幸运卡,Draw lucky card,Undian kartu keberuntungan,Sortear de cartas de la suerte,سحب بطاقة الحظ,,,,
新手任务,Newbie task,Tugas pemula,Tareas de novato,مهمة مبتدئ,,,,
完善个人信息,Improve personal information,Lengkapi informasih pribadi,Mejorar la información personal,اكمال المعلومات الشخصية,,,,
去完成,To complete,Pergi untuk selesainya ,Completar,لإكمال,,,,
绑定手机号,Bind mobile phone number,Terikat telepon,Vincular número de teléfono móvil,ربط رقم الهاتف,,,,
发布动态,Post moment,Post moment,Publicar momento,نشر اللحظة,,,,
上麦10分钟,Take mic 10 min,Naik kursi selama 10 menit,Toma el micrófono 10 min,اخذ مايك 10 دقائق,,,,
送一个礼物,Send 1 gift ,Kirim 1 gift ,Envía 1 regalo,أرسل 1 هدية,,,,
充值一次,Recharge once,Top up 1 kali ,Recargar una vez,اشحن 1 مرة ,,,,
%s 银币,%s silver coins,%s skoin perak,%s monedas de plata,٪ S عملات فضية,,,,
银币商城,Silver Coins Mall,Mall koin perak,Tienda de monedas de plata,مول العملات الفضية,,,,
翻牌抽奖,Flip cards draw,Undian ,Voltear las cartas robar,اقلب البطاقات واسحب,,,,
%s 天,%s days,%s shari ,%s días,%s يوم,,,,
兑换,Exchange,Tukar,Intercambiar,صرف,,,,
活动规则,Activity Rules,Peraturan aktivitas,Reglas de actividad,قواعد النشاط,,,,
 中奖记录,Winning record,Catatan kemenangan,Récord ganador,سجل الفوز,,,,
银币规则,Silver Coins Rules,Peraturan koin perak,Reglas de monedas de plata,قواعد عملات الفضة,,,,
"1、银币可以通过签到以及其他任务获得

2、银币可用于参与银币抽奖活动以及在银币商城兑换奖励

3、银币不提现","1.Silver coins can be got by sign-in and other tasks

2.Silver coins can be used to join in the silver coin lottery activity and exchange rewards in the silver coin mall

3.No withdrawal of silver coins","1. Koin perak diperoleh melalui absen dan tugas lainnya

2. Koin perak digunakan untuk berpartisipasi dalam lotre koin perak dan menukarkan hadiah di mal koin perak
 
3. Koin perak  tidak bisa penarikan ","1. Las monedas de plata se pueden obtener mediante el inicio de sesión y otras tareas.

2. Las monedas de plata se pueden usar para unirse a la actividad de lotería de monedas de plata e intercambiar recompensas en la tienda de monedas de plata.

3. No retiro de monedas de plata","1. يمكن الحصول على العملات الفضية عن طريق تسجيل الدخول ومهام أخرى

2. يمكن استخدام العملات الفضية للانضمام إلى نشاط يانصيب العملة الفضية ومكافآت الصرف في متجر العملات الفضية

3. عدم سحب العملات الفضية",,,,
领取成功,Received successfully,Berhasil diterima,Recibido con éxito,تم الاستلام بنجاح,,,,
获得%s个银币,Get %s silver coins,Mendapatkan%skoin perak,Conseguir %s monedas de plata,حصل على٪ s عملات فضية,,,,
去直播,Go live,Pergi ke siaran ,Ir en vivo,اذهب بث,,,,
任务中心,Task center,Pusat tugas,Centro de tareas,مركز المهام,,,,
说明,Description,Penjelasan,Descripción,وصف,,,,
15天内礼物赠送最多并且排名TOP1将成为TA的守护，赠送礼物价值超过TOP1将占领守护位,"If you send the most gifts within 15 days and rank TOP1, you will become your guardian. If you send more gifts than TOP1, you will occupy your guardian position","User yang memberikan total harga gift terbanyak dalam 15 hari akan menjadi pemenang. Apabila ada User yang memberikan total harga gift lebih banyak dari pemenang, maka user tersebut akan merebut dan menempati posisi pemenang sebelumnya.",,,,,,
确定消耗%s 金币 购买 %s 15天？,Are you sure to spend %s gold coins to buy %s for 15 days?,Yakin menggunakan %s koin untuk membeli %s selama 15 hari?,¿Está seguro de gastar %s monedas de oro para comprar %s durante 15 días?,هل تتأكد من إنفاق٪ S عملات ذهبية لشراء٪ S لمدة 15 يوم؟,,,,
取消,Cancel,batal ,Cancelar,إلغاء,,,,
确定,Confirm,Yakin ,Confirmar,تأكيد,,,,
我的等级,My level,Level saya,Mi nivel,درجتي,,,,
财富等级,Wealth level,Level kekayaan,Nivel de riqueza,درجة الثروة,,,,
魅力等级,Charm level,Level karisma,Nivel de encanto,درجة الجاذبي,,,,
距离下一级还差67689经验值,To the next level need 67 experience points ,Masih kurang 67689 poin akan naik 1 level ,"67,689 puntos de experiencia por debajo del siguiente nivel",إلى الدرجة التالي يحتاج إلى 67 نقطة خبرة,,,,
等级说明,Level description,keterangan level,Descripción de nivel,وصف الدرجة,,,,
每送1金币礼物，增加1财富经验值。随着等级的上升， 您的等级图标颜色也会相应改变。,"When send 1 gold coin gift of will increase 1 wealth experience point. As your level upgrade, the color of your level icon will change accordingly.","Menerima hadiah senilai 1 koin akan menambah 1 poin kekayaan. Saat level meningkat, ikon level anda akan berubah.","Cada regalo de 1 moneda de oro aumentará 1 valor de experiencia de riqueza. A medida que aumenta el nivel, el color de su icono de nivel cambiará en consecuencia.",عند إرسل هدية 1 عملة ذهبية سوف تزيد 1 نقطة خبرة الثروة . أثناء ترقية درجتك ، سوف يتغير لون رمز الدرجة وفقًا لذلك.,,,,
收到1金币价值礼物，增加1魅力经验值。随着等 级的上升，您的等级图标也会相应改变。,"When receive 1 gold coin gift of will increase 1 charm experience point. As your level upgrade, the color of your level icon will change accordingly.","Menerima hadiah senilai 1 koin menambah 1 nilai karisma. Saat level meningkat, ikon level anda akan berubah.","Cuando reciba 1 moneda de oro de regalo, aumentará 1 punto de experiencia de encanto. A medida que aumenta su nivel, el color del icono de su nivel cambiará en consecuencia.",عند تستلم هدية 1 عملة ذهبية سوف تزيد 1 نقطة خبرة الجاذبي . أثناء ترقية درجتك ، سوف يتغير لون رمز الدرجة وفقًا لذلك.,,,,
等级勋章,Level badge,Medali level,Insignia de nivel,شارة الدرجة,,,,
累计经验值,Accumulated experience point, akumulasi poin pengalaman,Punto de experiencia acumulada,نقطة خبرة متراكمة,,,,
要求经验,Experience required,Permintaan pengalaman,Experiencia requerida,الخبرات المطلوبة,,,,
每级需要%s经验值,Each level requires %s experience points,Setiap level membutuhkan%spoin ,Cada nivel requiere %s puntos de experiencia,كل درجة يتطلب٪ s من نقاط الخبرة,,,,
设置,Setting,Pengaturan,Configurar,إعدادات,,,,
账户,Account,Akun,Cuenta,حساب,,,,
语言,Language,Bahasa,Idioma,اللغة,,,,
清除缓存,Clear cache,Bersih cache,Limpiar la caché,مسح ذاكرة التخزين المؤقت,,,,
关于我们,About us,Tentang kami,Sobre Lami,عنا,,,,
用户协议,User agreement,Perjanjian pengguna,Acuerdo de usuario,اتفاقية المستخدم,,,,
退出登录,Sign out,Keluar,Salir del registro,تسجيل الخروج,,,,
请描述您的遇到的问题,Please describe your problem,Tolong jelaskan masalah anda,Describe tu problema por favor ,يرجى وصف مشكلتك,,,,
请留下您的联系方式,Please leave your contact information,Silakan tinggalkan informasi kontak anda,Deje su información de contacto por favor,من فضلك اترك معلومات الاتصال الخاصة بك,,,,
提交,Submit,Kirim,Enviar,تقديم,,,,
确定清除缓存？,Are you sure to clear the cache?,Apakah anda yakin menghapus cache?,¿Estás seguro de limpiar el caché?,هل تتأكد من مسح ذاكرة التخزين المؤقت؟,,,,
榜单翻译,,,,,,,,
,Sprint leader board rewards,Hadiah peringkat pencapaian tercepat,,,,,,
,Rank reward,Peringkat reward,,مكافأة الترتيب,,,,
,Wealth Rank,Peringkat kekayaan,Lista de riqueza,ترتيب الثروة,,,,
,The top 1 users on the wealth list last month will receive rewards.,Top 1 di peringkat kekayaan bulan lalu akan mendapat reward,Los top 1 usuarios en la lista de riqueza el mes pasado recibirán recompensas.,توب 1 مستخدم في قائمة الثروة الشهر الماضي سوف يحصل على مكافآت.,,,,
这里是H5的,The top 3 users on the wealth list last week will receive rewards.,Top 3 di peringkat kekayaan minggu lalu akan mendapat reward,Los top 3 usuarios de la lista de riqueza de la semana pasada recibirán recompensas.,توب 3 مستخدم في قائمة الثروة الشهر الماضي سوف يحصل على مكافآت.,,,,
,Charm Rank,Peringkat Karisma,Lista de encanto,ترتيب الجاذبي,,,,
,The top 3 hosts on the charm list each hours will be rewards with room label for 1 hour.,Top 3 di peringkat karisma setiap jam akan mendapat label kamar selama 1 jam,Los top 3 emisores en la lista de encanto cada hora serán recompensas con la etiqueta de la habitación durante 1 hora.,توب 3 مضيفات في قائمة الجاذبي كل ساعة سوف يحصل علي مكافآت علامة الغرفة لمدة 1 ساعة.,,,,
,The top 3 hosts on the charm list last week will receive different label.,Top 3 di peringkat karisma minggu lalu akan mendapat label kamar yang berbeda ,Los top 3 emisores en la lista de encanto de la semana pasada recibirán una etiqueta diferente.,توب 3 مضيفات في قائمة الجاذبي الأسبوع الماضي سوف يحصل على مكافآت من علامة الغرفة المختلفة.,,,,
,Ageny Rank,Peringkat Agency,Lista de agencia,ترتيب الوكالة,,,,
,The top 3 agent on the charm list last week will receive many coins.,Agency top 3 di peringkat karisma minggu lalu akan mendapat banyak koin  ,Los top 3 agencias de la lista de encanto de la semana pasada recibirán muchas monedas de oro.,توب 3 وكالات في قائمة الجاذبي الأسبوع الماضي سوف يحصل على مكافآت من الكونزات.,,,,
,,,,,,,,
翻,Turn,Balik,Invertirse,تقليب,,,,
兑换,Exchange,Tukar,Intercambio,صرف,,,,
谢谢参与,Thanks,Terima kasih,Gracias,شكرا لكم,,,,
领取成功!,Received successfully!,Berhasil diterima,¡Éxito de recaudación!,تم الاستلام بنجاح!,,,,
申请成功；等待主播邀请中...,Request is successfully; waiting for the host invite...,Permintaan berhasil; menunggu undangan host...,Solicitud aceptada; a la espera de la invitación de emisor...,تم الطلب بنجاح. في انتظار دعوة المضيفة ...,,,,
图片地址异常，请重试！,"The image address is abnormal, please try again!","Lokasi gambar anormal, silahkan coba lagi","Excepción de la dirección de la imagen, por favor, inténtelo de nuevo.",عنوان الصورة غير طبيعي ، يرجى المحاولة مرة أخرى!,,,,
为了您的体验，请选择 300X300 以上的图片哦~~,"For your experience, please select images over 300X300 ~~","Untuk pengalaman anda, silahkan pilih gambar yg berukur 300x300","Para su experiencia mejor, elija una imagen de 300x300 o más~~",لتجربتك ، يرجى اختيار الصور التي يزيد حجمها عن 300 × 300 ~~,,,,
您已退出群聊！,You have exited the group chat!,Anda telah keluar dari grup ,¡Has abandonado el chat de grupo!,لقد خرجت من دردشة المجموعة!,,,,
群主不能给自己送礼哦！,The group owner can't send gift to himself!,Owner grup tidak bisa kirim hadiah ke sendiri,Los jefes de grupo no pueden hacerse regalos a sí mismos.,لا يمكن لصاحب المجموعة إرسال هدية لنفسه!,,,,
您已全部完善信息，点个赞!,"You have completed all the information, click a like!",Anda telah melengkapi informasi ,"Has completado toda la información, ¡felicidades!",لقد أكملت جميع المعلومات ، انقر فوق إعجاب!,,,,
您已在该直播间,You are already in the live room,Anda telah di ruangan ini ,Ya estás en esta sala en vivo,أنت في غرفة البث,,,,
您正在开播中，不能进入其他直播间,You are living and cannot enter other live room,"Anda sedang siaran, tidak bisa masuk ruangan lain ","Estás en la transmisión y no puedes acceder a otros canales directos
",أنت في البث ولا يمكنك دخول غرفة البث الأخرى,,,,
申请成功；等待主播邀请中...,Request is successfully; waiting for the host invite...,Permintaan berhasil; menunggu undangan host...,Solicitud aceptada; a la espera de la invitación de emisor...,تم الطلب بنجاح. في انتظار دعوة المضيفة ...,,,,
内容含有敏感词，发布失败!,"Content contains sensitive words, posted failed!  ","Konten berisi sensitif, gagal terkirim ","El contenido contiene palabras sensibles, ¡publicación fallida!",المحتوى يحتوي على كلمات حساسة ، تم نشره فشل!,,,,
图片违规，请重新添加,"Picture violation, please upload again","Pelanggaran gambar, silahkan tambah lagi ","La imagen es ilegal, por favor, vuelva a añadirla",انتهاك الصورة ، يرجى تحميل مرة أخرى,,,,
举报成功~~,Report successful~~,Laporkan berhasil ,Reportado con éxito~~,تقرير ناجح ~~,,,,
举报成功，我们会尽快为您处理,"The report is successful, we will deal with it as soon as possible","Laporkan berhasil, kami akan menyelesaikannya sesegera mungkin","Informe exitoso, lo procesaremos lo antes posible",ابلاغ ناجح وسوف نتعامل معه في أسرع وقت,,,,
操作成功！,Operate successfully,Berhasil ,¡Operación exitosa!,تعمل بنجاح,,,,
赠送礼物成功,Sent gift successfully,Berhasil kirim hadiah,Regalar éxito,أرسل الهدية بنجاح,,,,
你已被此房间踢出，请稍后再进,"You have been kicked out of the room, please enter later again","Anda telah dikeluar ruangan, silahkan masuk lagi nanti","Has sido expulsado de esta habitación, por favor vuelve más tarde",لقد تم طردك من الغرفة ، يرجى الدخول مرة أخرى لاحقًا,,,,
初始化引擎失败,Failed to initialize engine,Gagal menginisialisasi mesin,Motor de inicialización fallado,فشل تهيئة المحرك,,,,
进房失败，请稍后重试,"Failed to enter room, please try again later","Gagal masuk ruangan, silahkan coba lagi ","Entrada fallida, inténtelo de nuevo más tarde",فشل دخول الغرفة ، يرجى المحاولة مرة أخرى لاحقًا,,,,
